"MessageID","MessageString","Severity"
"500","This component started.","Informational"
"501","This component was signalled to stop by an administrator or the operating system. The component will complete any processing it is doing and stop at a safe point in time. If the component or this computer is very busy, it may take several minutes for the component to stop.","Informational"
"502","This component stopped.","Informational"
"503","This component was signalled to pause by an administrator. The component will complete any processing it is doing and pause at a safe point in time. If the component or this computer is very busy, it may take several minutes for the component to pause. Once the component has paused, it will not do any more processing until the administrator signals it to resume processing.","Informational"
"504","This component was signalled to resume processing by an administrator.","Informational"
"506","Copied file ""%1"" to ""%2"".","Informational"
"507","Moved file ""%1"" to ""%2"".","Informational"
"508","Deleted file ""%1"".%2","Informational"
"509","Locked file ""%1"".%2","Informational"
"510","Unlocked file ""%1"".%2","Informational"
"511","Created directory ""%1"".%2","Informational"
"512","Removed directory ""%1"".%2","Informational"
"513","Set the current directory for this process to ""%1"".%2","Informational"
"514","Opened a change notification handle for directory ""%1"".%2","Informational"
"515","Could not open a change notification handle for directory ""%1"" because the directory is on a remote computer.%2","Informational"
"516","Closed the change notification handle for directory ""%1"".%2","Informational"
"543","Parsed site control file ""%1"", serial number %2.","Informational"
"544","Wrote delta site control file ""%1"".%2","Informational"
"550","Parsed installation map ""%1"".%2","Informational"
"553","Read registry key ""%1"" on computer %2.","Informational"
"554","Wrote registry key ""%1"" on computer %2.","Informational"
"555","Deleted registry key ""%1"" on computer %2.","Informational"
"556","Read registry value ""%1"" on computer %2.","Informational"
"557","Wrote registry value ""%1"" on computer %2.","Informational"
"558","Deleted registry value ""%1"" on computer %2.","Informational"
"559","Opened a change notification handle for registry key ""%1"" on computer %2.","Informational"
"560","Closed the change notification handle for registry key ""%1"" on computer %2.","Informational"
"564","Could not read registry key ""%1"" on computer %2.","Informational"
"565","Could not write registry key ""%1"" on computer %2.","Informational"
"589","Creating ""%1"" trigger for ""%2"".","Informational"
"590","Dropping trigger ""%1"".%2","Informational"
"591","Creating table ""%1"".%2","Informational"
"592","Dropping table ""%1"".%2","Informational"
"593","Creating index ""%1"" on table ""%2"".","Informational"
"594","Dropping index ""%1"".%2","Informational"
"595","Creating stored procedure ""%1"".%2","Informational"
"596","Dropping stored procedure ""%1"".%2","Informational"
"597","Creating view ""%1"".%2","Informational"
"598","Dropping view ""%1"".%2","Informational"
"615","Microsoft SQL Server reported SQL error %1, severity %2: %3Please refer to your ConfigMgr Documentation, SQL Server Documentation, or the Microsoft Knowledge Base for further troubleshooting information.","Informational"
"616","Microsoft SQL Server reported SQL error %1, severity %2: %3Please refer to your ConfigMgr Documentation, SQL Server Documentation, or the Microsoft Knowledge Base for further troubleshooting information.","Informational"
"617","Microsoft SQL Server reported SQL error %1, severity %2: %3Please refer to your ConfigMgr Documentation, SQL Server Documentation, or the Microsoft Knowledge Base for further troubleshooting information.","Informational"
"618","Microsoft SQL Server reported SQL message %1, severity %2: %3Please refer to your ConfigMgr Documentation, SQL Server Documentation, or the Microsoft Knowledge Base for further troubleshooting information.","Informational"
